territorio,geocode,estado,ano,classe,valor_pixel,area_ha
"Figueirópolis D'Oeste",5103809,MT,1988,"Afloramento Rochoso",29,480.7093
"Figueirópolis D'Oeste",5103809,MT,1988,"Pastagem",15,47430.3182
"Figueirópolis D'Oeste",5103809,MT,1988,"Área Urbanizada",24,60.8610
"Figueirópolis D'Oeste",5103809,MT,1988,"Formação Savânica",4,1318.0506
"Figueirópolis D'Oeste",5103809,MT,1988,"Floresta",1,38851.2684
"Figueirópolis D'Oeste",5103809,MT,1988,"Vegetação Herbácea e Arbustiva",10,2358.3619
"Figueirópolis D'Oeste",5103809,MT,1988,"Agropecuária",14,47447.7817
"Figueirópolis D'Oeste",5103809,MT,1988,"Área não Vegetada",22,143.7910
"Figueirópolis D'Oeste",5103809,MT,1988,"Corpo D'Água",26,342.7307
"Figueirópolis D'Oeste",5103809,MT,1989,"Outras Lavouras Temporárias",41,15.5959
"Figueirópolis D'Oeste",5103809,MT,1989,"Lavoura Temporária",19,15.5959
"Figueirópolis D'Oeste",5103809,MT,1989,"Formação Campestre",12,1288.1801
"Figueirópolis D'Oeste",5103809,MT,1989,"Formação Florestal",3,30815.3534
"Figueirópolis D'Oeste",5103809,MT,1989,"Agricultura",18,15.5959
"Figueirópolis D'Oeste",5103809,MT,1989,"Rio, Lago e Oceano",33,324.6231
"Figueirópolis D'Oeste",5103809,MT,1989,"Outras Áreas não Vegetadas",25,71.5498
"Figueirópolis D'Oeste",5103809,MT,1989,"Campo Alagado e Área Pantanosa",11,391.1981
"Figueirópolis D'Oeste",5103809,MT,1989,"Floresta Alagável",6,2712.3706
"Figueirópolis D'Oeste",5103809,MT,1989,"Afloramento Rochoso",29,479.9336
"Figueirópolis D'Oeste",5103809,MT,1989,"Pastagem",15,51841.1332
"Figueirópolis D'Oeste",5103809,MT,1989,"Área Urbanizada",24,62.4997
"Figueirópolis D'Oeste",5103809,MT,1989,"Formação Savânica",4,1141.4962
"Figueirópolis D'Oeste",5103809,MT,1989,"Floresta",1,34669.2202
"Figueirópolis D'Oeste",5103809,MT,1989,"Vegetação Herbácea e Arbustiva",10,2159.3118
"Figueirópolis D'Oeste",5103809,MT,1989,"Agropecuária",14,51856.7291
"Figueirópolis D'Oeste",5103809,MT,1989,"Área não Vegetada",22,134.0496
"Figueirópolis D'Oeste",5103809,MT,1989,"Corpo D'Água",26,324.6231
"Figueirópolis D'Oeste",5103809,MT,1990,"Outras Lavouras Temporárias",41,27.4109
"Figueirópolis D'Oeste",5103809,MT,1990,"Lavoura Temporária",19,27.4109
"Figueirópolis D'Oeste",5103809,MT,1990,"Formação Campestre",12,1148.9821
"Figueirópolis D'Oeste",5103809,MT,1990,"Formação Florestal",3,28586.9383
"Figueirópolis D'Oeste",5103809,MT,1990,"Agricultura",18,27.4109
"Figueirópolis D'Oeste",5103809,MT,1990,"Rio, Lago e Oceano",33,326.3940
"Figueirópolis D'Oeste",5103809,MT,1990,"Outras Áreas não Vegetadas",25,57.2286
"Figueirópolis D'Oeste",5103809,MT,1990,"Campo Alagado e Área Pantanosa",11,347.0444
"Figueirópolis D'Oeste",5103809,MT,1990,"Floresta Alagável",6,2642.1159
"Figueirópolis D'Oeste",5103809,MT,1990,"Afloramento Rochoso",29,480.3710
"Figueirópolis D'Oeste",5103809,MT,1990,"Pastagem",15,54509.4800
"Figueirópolis D'Oeste",5103809,MT,1990,"Área Urbanizada",24,65.1735
"Figueirópolis D'Oeste",5103809,MT,1990,"Formação Savânica",4,952.7951
"Figueirópolis D'Oeste",5103809,MT,1990,"Floresta",1,32181.8493
"Figueirópolis D'Oeste",5103809,MT,1990,"Vegetação Herbácea e Arbustiva",10,1976.3975
"Figueirópolis D'Oeste",5103809,MT,1990,"Agropecuária",14,54536.8909
"Figueirópolis D'Oeste",5103809,MT,1990,"Área não Vegetada",22,122.4020
"Figueirópolis D'Oeste",5103809,MT,1990,"Corpo D'Água",26,326.3940
"Figueirópolis D'Oeste",5103809,MT,1991,"Outras Lavouras Temporárias",41,15.4243
"Figueirópolis D'Oeste",5103809,MT,1991,"Lavoura Temporária",19,15.4243
"Figueirópolis D'Oeste",5103809,MT,1991,"Formação Campestre",12,1098.7588
"Figueirópolis D'Oeste",5103809,MT,1991,"Formação Florestal",3,27302.1374
"Figueirópolis D'Oeste",5103809,MT,1991,"Agricultura",18,15.4243
"Figueirópolis D'Oeste",5103809,MT,1991,"Rio, Lago e Oceano",33,332.5512
"Figueirópolis D'Oeste",5103809,MT,1991,"Outras Áreas não Vegetadas",25,48.0889
"Figueirópolis D'Oeste",5103809,MT,1991,"Campo Alagado e Área Pantanosa",11,343.1939
"Figueirópolis D'Oeste",5103809,MT,1991,"Floresta Alagável",6,2611.2972
